,player,teams
0,Kylian Mbappé,"['Monaco II', 'Monaco', 'PSG']"
1,Luis Alberto Suárez Díaz,"['Liverpool', 'Groningen', 'Atlético', 'Atletico Madrid', 'Ajax', 'Barcelona', 'Nacional']"
2,Raheem Sterling,"['Liverpool', 'Manchester City', 'Man City']"
3,Kevin De Bruyne,"['Chelsea', 'Genk', 'Werder Bremen', 'Wolfsburg', 'Manchester City', 'Man City', 'Bremen']"
4,Antoine Griezmann,"['Real Sociedad', 'Atlético', 'Atletico Madrid', 'Barcelona']"
5,Mohamed  Salah Ghaly,"['Roma', 'Chelsea', 'Liverpool', 'Al Mokawloon', 'Basel', 'Fiorentina', 'Mokawloon']"
6,Sergio Busquets i Burgos,['Barcelona']
7,N'Golo Kanté,"['Chelsea', 'Leicester City', 'Caen', 'Boulogne', 'Leicester']"
8,Samir Handanovič,"['Inter', 'Internazionale', 'Domžale', 'Treviso', 'Rimini', 'Udinese', 'Lazio']"
9,Pierre-Emerick Aubameyang,"['Monaco', 'Lille', 'Dortmund', 'Saint-Etienne', 'Milan', 'Saint-Étienne II', 'Saint-Étienne', 'Borussia Dortmund', 'Dijon', 'Arsenal']"
10,Giorgio Chiellini,"['Livorno', 'Juventus', 'Fiorentina']"
11,Sergio Ramos García,"['Sevilla', 'Real Madrid']"
12,Paulo Bruno Exequiel Dybala,"['Palermo', 'Juventus', 'Instituto']"
13,Marc-André ter Stegen,"[""Borussia M'gla…"", 'Barcelona', ""M'gladbach""]"
14,Hugo Lloris,"['Tottenham', 'Lyon', 'Olympique Lyonnais', 'Tottenham Hotspur', 'Nice']"
15,Luka Modrić,"['Zrinjski', 'Inter', 'Tottenham', 'Real Madrid', 'Dinamo Zagreb', 'Tottenham Hotspur']"
16,Ederson Santana de Moraes,"['Rio Ave', 'Benfica II', 'Benfica', 'Man City', 'Manchester City', 'Ribeirão']"
17,Kalidou Koulibaly,"['Metz', 'Napoli', 'Metz II', 'Genk']"
18,Neymar da Silva Santos Junior,"['Barcelona', 'Santos', 'PSG']"
19,Virgil van Dijk,"['Liverpool', 'Groningen', 'Southampton U23', 'Celtic', 'Southampton']"
20,Manuel Neuer,"['Bayern München', 'Schalke 04 II', 'Schalke 04', 'Bayern Munich']"
21,Harry Kane,"['Tottenham', 'Leyton Orient', 'Millwall', 'Leicester City', 'Tottenham Hotspur', 'Leicester', 'Norwich City', 'Norwich']"
22,Toni Kroos,"['Leverkusen', 'Bayer Leverkusen', 'Real Madrid', 'Bayern München', 'Bayern München II', 'Bayern Munich']"
23,Robert Lewandowski,"['Lech Poznań', 'Dortmund', 'Lech', 'Bayern München', 'Borussia Dortmund', 'Bayern Munich']"
24,Alisson Ramses Becker,"['Roma', 'Liverpool', 'Internacional']"
25,Christian  Dannemann Eriksen,"['Inter', 'Tottenham', 'Internazionale', 'Ajax', 'Tottenham Hotspur']"
26,Eden Hazard,"['Chelsea', 'Real Madrid', 'Chelsea U23', 'Lille']"
27,Cristiano Ronaldo dos Santos Aveiro,"['Juventus', 'Sporting CP', 'Real Madrid', 'Manchester United', 'Man Utd']"
28,David De Gea Quintana,"['Man Utd', 'Atletico Madrid', 'Manchester United', 'Atlético']"
29,Sergio Leonel Agüero del Castillo,"['Atlético', 'Independiente', 'Atletico Madrid', 'Barcelona', 'Manchester City', 'Man City']"
30,Thibaut Courtois,"['Chelsea', 'Genk', 'Real Madrid', 'Atlético', 'Atletico Madrid']"
31,Gerard Piqué Bernabéu,"['Manchester United', 'Man Utd', 'Barcelona', 'Zaragoza', 'Real Zaragoza']"
32,Aymeric  Laporte,"['Man City', 'Manchester City', 'Athletic Club', 'Athletic Club II']"
33,손흥민 孙兴慜,"['Leverkusen', 'Hamburger SV', 'Bayer Leverkusen', 'Tottenham', 'Hamburger SV II', 'Tottenham Hotspur', 'Hamburg']"
34,Paul Pogba,"['Man Utd', 'Juventus', 'Manchester United']"
35,Lionel Andrés Messi Cuccittini,['Barcelona']
36,Carlos Henrique Venancio Casimiro,"['São Paulo', 'Real Madrid', 'Real Madrid II', 'Porto']"
37,Sadio Mané,"['Liverpool', 'Salzburg', 'Metz II', 'Metz', 'Southampton']"
38,Diego Godín,"['Inter', 'Internazionale', 'Cerro', 'Villarreal', 'Atlético', 'Atletico Madrid', 'Cagliari', 'Nacional']"
39,Marco Reus,"[""Borussia M'gla…"", 'Dortmund', 'Rot Weiss Ahlen', 'RW Ahlen', ""M'gladbach"", 'Borussia Dortmund']"
40,Jan Oblak,"['Olimpija', 'Beira-Mar', 'Rio Ave', 'Atlético', 'Benfica II', 'Atletico Madrid', 'União Leiria', 'Benfica', 'União de Leiria', 'Olhanense']"
41,Edinson Roberto Cavani Gómez,"['Manchester United', 'Napoli', 'Palermo', 'Man Utd', 'PSG', 'Danubio']"
42,Bernardo Mota Veiga de Carvalho e Silva,"['Monaco', 'Benfica II', 'Benfica', 'Manchester City', 'Man City']"
43,David Josué Jiménez Silva,"['Celta Vigo', 'Real Sociedad', 'Eibar', 'Valencia', 'Manchester City', 'Man City']"
44,Dries Mertens,"['PSV', 'Napoli', 'AGOVV', 'Utrecht']"
45,Fernando Luiz Rosa,"['Man City', 'Manchester City', 'Shakhtar Donetsk', 'Shakhtar D']"
46,Leroy Sané,"['Schalke 04 U19', 'Manchester Cit…', 'Bayern München', 'Schalke 04', 'Bayern Munich', 'Manchester City', 'Man City']"
47,Toby Alderweireld,"['Tottenham', 'Atlético', 'Atletico Madrid', 'Ajax', 'Tottenham Hotspur', 'Southampton']"
48,Karim Benzema,"['Real Madrid', 'Olympique Lyonnais', 'Lyon']"
49,Francisco Román Alarcón Suárez,"['Málaga', 'Real Madrid', 'Valencia']"
50,Jan Vertonghen,"['Tottenham', 'Waalwijk', 'Ajax', 'Tottenham Hotspur', 'RKC Waalwijk', 'Benfica']"
51,Mats  Hummels,"['Dortmund', 'Bayern München', 'Bayern München II', 'Borussia Dortmund', 'Bayern Munich']"
52,Thiago Emiliano da Silva,"['Chelsea', 'Dinamo Moscow', 'Fluminense', 'Milan', 'Dinamo M', 'Porto', 'Juventude', 'PSG']"
53,Joshua Kimmich,"['RB Leipzig', 'Stuttgart', 'Bayern München', 'Leipzig', 'Stuttgart U19', 'Bayern Munich']"
54,Roberto Firmino Barbosa de Oliveira,"['Liverpool', 'Hoffenheim', 'Figueirense']"
55,Samuel Umtiti,"['Olympique Lyonnais', 'Olympique Lyon…', 'Barcelona', 'Lyon']"
56,Jordi Alba Ramos,"['Tarragona', 'Valencia', 'Barcelona', 'Gimnàstic Tarr…']"
57,Milan Škriniar,"['Inter', 'Internazionale', 'Sampdoria', 'Žilina II', 'Žilina', 'Zlaté Moravce']"
58,Marco Verratti,"['Pescara', 'PSG']"
59,Daniel Parejo Muñoz,"['QPR', 'Real Madrid', 'Villarreal', 'Valencia', 'Getafe', 'Queens Park Ra…']"
60,Thiago Alcântara do Nascimento,"['Liverpool', 'Bayern München', 'Barcelona', 'Bayern Munich', 'Barcelona II']"
61,Lorenzo Insigne,"['Pescara', 'Foggia', 'Napoli', 'Cavese']"
62,Keylor Navas,"['Saprissa', 'Real Madrid', 'Levante', 'Albacete', 'Deportivo Saprissa', 'PSG']"
63,Marcos  Aoás Corrêa,"['Roma', 'PSG', 'Corinthians']"
64,Ciro Immobile,"['Pescara', 'Juventus', 'Siena', 'Dortmund', 'Lazio', 'Grosseto', 'Genoa', 'Borussia Dortmund', 'Sevilla', 'Torino']"
65,Ivan Rakitić,"['Sevilla', 'Schalke 04', 'Basel', 'Barcelona']"
66,Wojciech  Szczęsny,"['Roma', 'Juventus', 'Brentford', 'Arsenal']"
67,Leonardo Bonucci,"['Juventus', 'Inter', 'Internazionale', 'Milan', 'Treviso', 'Genoa', 'Pisa', 'Bari']"
68,Philippe Coutinho Correia,"['Vasco da Gama', 'Inter', 'Internazionale', 'Liverpool', 'Bayern München', 'Barcelona', 'Espanyol', 'Vasco', 'Bayern Munich']"
69,Thomas Müller,"['Bayern München II', 'Bayern Munich']"
70,Miralem Pjanić,"['Roma', 'Juventus', 'Lyon', 'Olympique Lyonnais', 'Barcelona', 'Metz']"
71,Ángel Fabián Di María Hernández,"['Real Madrid', 'Manchester United', 'Man Utd', 'Benfica', 'PSG', 'R. Central', 'Rosario Central']"
72,Saúl Ñíguez Esclápez,"['Atlético Madrid II', 'Vallecano', 'Atlético', 'Atletico Madrid', 'Rayo Vallecano']"
73,Rodrigo Hernández Cascante,"['Villarreal', 'Atlético', 'Atletico Madrid', 'Villarreal II', 'Manchester City', 'Man City']"
74,Alexandre Lacazette,"['Olympique Lyonnais', 'Olympique Lyon…', 'Arsenal', 'Lyon']"
75,Frenkie de Jong,"['Ajax II', 'Willem II', 'Ajax', 'Barcelona']"
76,Gianluigi Donnarumma,['Milan']
77,Niklas Süle,"['Bayern München', 'Hoffenheim II', 'Hoffenheim', 'Bayern Munich', 'Hoffenheim U19']"
78,Sergej Milinković-Savić,"['Lazio', 'Vojvodina', 'Genk']"
79,Raphaël Varane,"['Real Madrid', 'Lens II', 'Lens']"
80,Fábio Henrique Tavares,"['Monaco', 'Liverpool', 'Real Madrid', 'Fluminense', 'Rio Ave', 'Real Madrid II']"
81,José María Giménez de Vargas,"['Atletico Madrid', 'Atlético', 'Danubio']"
82,Andrew Robertson,"['Hull City', 'Dundee Utd', 'Liverpool', 'Hull', 'Dundee United', ""Queen's Park""]"
83,Matthijs de Ligt,"['Ajax II', 'Juventus', 'Ajax']"
84,Bruno Miguel Borges Fernandes,"['Sporting CP', 'Sampdoria', 'Manchester United', 'Man Utd', 'Novara', 'Udinese']"
85,Anthony Lopes,"['Olympique Lyonnais', 'Olympique Lyon…']"
86,Roman Bürki,"['FC Schaffhausen', 'Dortmund', 'Thun', 'FC Schaffh', 'Borussia Dortmund', 'Freiburg', 'Grasshopper', 'Young Boys']"
87,Romelu Lukaku,"['Chelsea', 'Inter', 'West Bromwich …', 'Internazionale', 'Manchester United', 'West Bromwich', 'Man Utd', 'Everton', 'Anderlecht']"
88,Péter Gulácsi,"['Hereford', 'RB Leipzig', 'Hereford United', 'RB Leipzig II', 'Hull City', 'Liverpool', 'Salzburg', 'Hull', 'Leipzig', 'Tranmere Rovers', 'Tranmere']"
89,Clément Lenglet,"['Sevilla', 'Nancy', 'Nancy II', 'Barcelona']"
90,Kostas Manolas,"['Roma', 'AEK', 'AEK Athens', 'Napoli', 'Olympiakos Piraeus', 'Thrasyvoulos', 'Olympiakos']"
