Rk,Date,Comp,Round,Venue,Squad,Opponent,Start,xG,PSxG,Body Part,Distance,Minute,Score,Goalkeeper,Assist,GCA1,Type,GCA2,Type,Notes
1,2022-12-18,World Cup,Final,Neutral,Argentina,France,Y*,0.86,0.92,Right Foot,4,108,2-2,Hugo Lloris,,Lautaro Martínez,Shot,,,Volley
2,2022-12-18,World Cup,Final,Neutral,Argentina,France,Y*,0.79,0.99,Left Foot,13,23,0-0,Hugo Lloris,,Ángel Di María,Fouled,Ángel Di María,Dribble,
3,2022-12-13,World Cup,Semi-finals,Neutral,Argentina,Croatia,Y*,0.79,0.98,Left Foot,13,34,0-0,Dominik Livaković,,Julián Álvarez,Fouled,Enzo Fernández,Pass (Live),
4,2022-12-09,World Cup,Quarter-finals,Neutral,Argentina,Netherlands,Y*,0.79,0.99,Left Foot,13,73,1-0,Andries Noppert,,Marcos Acuña,Fouled,Cristian Romero,Pass (Dead),
5,2022-12-03,World Cup,Round of 16,Neutral,Argentina,Australia,Y*,0.04,0.29,Left Foot,17,35,0-0,Mathew Ryan,Nicolás Otamendi,Alexis Mac Allister,Pass (Live),Lionel Messi,Pass (Live),
6,2022-11-26,World Cup,Group stage,Neutral,Argentina,Mexico,Y*,0.02,0.47,Left Foot,28,64,0-0,Guillermo Ochoa,Ángel Di María,Ángel Di María,Pass (Live),Enzo Fernández,Pass (Live),
7,2022-11-22,World Cup,Group stage,Neutral,Argentina,Saudi Arabia,Y*,0.79,0.99,Left Foot,13,10,0-0,Mohammed Al-Owais,,Leandro Paredes,Fouled,,,
8,2022-11-16,Friendlies (M),Friendlies (M),Neutral,Argentina,UAE,Y*,,,,,44,3-0,Khalid Eisa,Ángel Di María,,,,,
,,,,,,,,,,,,,,,,,,,,
9,2022-10-29,Ligue 1,Matchweek 13,Home,Paris S-G,Troyes,Y,0.04,0.21,Left Foot,30,55,1-2,Gauthier Gallon,Sergio Ramos,Sergio Ramos,Pass (Live),Carlos Soler,Pass (Live),
