Id,Name,PlayerPhoto_paths,CountryFlag_paths,ClubLogo_paths
158023,L. Messi,static/images/PlayerPhoto/158023,static/images/CountryFlag/158023,static/images/ClubLogo/158023
188545,R. Lewandowski,static/images/PlayerPhoto/188545,static/images/CountryFlag/188545,static/images/ClubLogo/188545
192985,K. De Bruyne,static/images/PlayerPhoto/192985,static/images/CountryFlag/192985,static/images/ClubLogo/192985
20801,Cristiano Ronaldo,static/images/PlayerPhoto/20801,static/images/CountryFlag/20801,static/images/ClubLogo/20801
190871,Neymar Jr,static/images/PlayerPhoto/190871,static/images/CountryFlag/190871,static/images/ClubLogo/190871
231747,K. Mbappé,static/images/PlayerPhoto/231747,static/images/CountryFlag/231747,static/images/ClubLogo/231747
200389,J. Oblak,static/images/PlayerPhoto/200389,static/images/CountryFlag/200389,static/images/ClubLogo/200389
202126,H. Kane,static/images/PlayerPhoto/202126,static/images/CountryFlag/202126,static/images/ClubLogo/202126
215914,N. Kanté,static/images/PlayerPhoto/215914,static/images/CountryFlag/215914,static/images/ClubLogo/215914
167495,M. Neuer,static/images/PlayerPhoto/167495,static/images/CountryFlag/167495,static/images/ClubLogo/167495
192448,M. ter Stegen,static/images/PlayerPhoto/192448,static/images/CountryFlag/192448,static/images/ClubLogo/192448
212622,J. Kimmich,static/images/PlayerPhoto/212622,static/images/CountryFlag/212622,static/images/ClubLogo/212622
200145,Casemiro,static/images/PlayerPhoto/200145,static/images/CountryFlag/200145,static/images/ClubLogo/200145
209331,M. Salah,static/images/PlayerPhoto/209331,static/images/CountryFlag/209331,static/images/ClubLogo/209331
208722,S. Mané,static/images/PlayerPhoto/208722,static/images/CountryFlag/208722,static/images/ClubLogo/208722
200104,H. Son,static/images/PlayerPhoto/200104,static/images/CountryFlag/200104,static/images/ClubLogo/200104
165153,K. Benzema,static/images/PlayerPhoto/165153,static/images/CountryFlag/165153,static/images/ClubLogo/165153
203376,V. van Dijk,static/images/PlayerPhoto/203376,static/images/CountryFlag/203376,static/images/ClubLogo/203376
210257,Ederson,static/images/PlayerPhoto/210257,static/images/CountryFlag/210257,static/images/ClubLogo/210257
212831,Alisson,static/images/PlayerPhoto/212831,static/images/CountryFlag/212831,static/images/ClubLogo/212831
230621,G. Donnarumma,static/images/PlayerPhoto/230621,static/images/CountryFlag/230621,static/images/ClubLogo/230621
192119,T. Courtois,static/images/PlayerPhoto/192119,static/images/CountryFlag/192119,static/images/ClubLogo/192119
212198,Bruno Fernandes,static/images/PlayerPhoto/212198,static/images/CountryFlag/212198,static/images/ClubLogo/212198
176580,L. Suárez,static/images/PlayerPhoto/176580,static/images/CountryFlag/176580,static/images/ClubLogo/176580
155862,Sergio Ramos,static/images/PlayerPhoto/155862,static/images/CountryFlag/155862,static/images/ClubLogo/155862
182521,T. Kroos,static/images/PlayerPhoto/182521,static/images/CountryFlag/182521,static/images/ClubLogo/182521
121939,17 P. Lahm,static/images/PlayerPhoto/121939,static/images/CountryFlag/121939,static/images/ClubLogo/121939
202652,R. Sterling,static/images/PlayerPhoto/202652,static/images/CountryFlag/202652,static/images/ClubLogo/202652
239085,E. Haaland,static/images/PlayerPhoto/239085,static/images/CountryFlag/239085,static/images/ClubLogo/239085
192505,R. Lukaku,static/images/PlayerPhoto/192505,static/images/CountryFlag/192505,static/images/ClubLogo/192505
193041,K. Navas,static/images/PlayerPhoto/193041,static/images/CountryFlag/193041,static/images/ClubLogo/193041
209658,L. Goretzka,static/images/PlayerPhoto/209658,static/images/CountryFlag/209658,static/images/ClubLogo/209658
177003,L. Modrić,static/images/PlayerPhoto/177003,static/images/CountryFlag/177003,static/images/ClubLogo/177003
228702,F. de Jong,static/images/PlayerPhoto/228702,static/images/CountryFlag/228702,static/images/ClubLogo/228702
231281,T. Alexander-Arnold,static/images/PlayerPhoto/231281,static/images/CountryFlag/231281,static/images/ClubLogo/231281
195864,P. Pogba,static/images/PlayerPhoto/195864,static/images/CountryFlag/195864,static/images/ClubLogo/195864
199556,M. Verratti,static/images/PlayerPhoto/199556,static/images/CountryFlag/199556,static/images/ClubLogo/199556
183898,A. Di María,static/images/PlayerPhoto/183898,static/images/CountryFlag/183898,static/images/ClubLogo/183898
216267,A. Robertson,static/images/PlayerPhoto/216267,static/images/CountryFlag/216267,static/images/ClubLogo/216267
189596,T. Müller,static/images/PlayerPhoto/189596,static/images/CountryFlag/189596,static/images/ClubLogo/189596
211110,P. Dybala,static/images/PlayerPhoto/211110,static/images/CountryFlag/211110,static/images/ClubLogo/211110
207865,Marquinhos,static/images/PlayerPhoto/207865,static/images/CountryFlag/207865,static/images/ClubLogo/207865
153079,S. Agüero,static/images/PlayerPhoto/153079,static/images/CountryFlag/153079,static/images/ClubLogo/153079
192387,C. Immobile,static/images/PlayerPhoto/192387,static/images/CountryFlag/192387,static/images/ClubLogo/192387
233049,J. Sancho,static/images/PlayerPhoto/233049,static/images/CountryFlag/233049,static/images/ClubLogo/233049
239818,Rúben Dias,static/images/PlayerPhoto/239818,static/images/CountryFlag/239818,static/images/ClubLogo/239818
177176,09 H. de Noteboom,static/images/PlayerPhoto/177176,static/images/CountryFlag/177176,static/images/ClubLogo/177176
5736,07 P. Cocu,static/images/PlayerPhoto/5736,static/images/CountryFlag/5736,static/images/ClubLogo/5736
167948,H. Lloris,static/images/PlayerPhoto/167948,static/images/CountryFlag/167948,static/images/ClubLogo/167948
186153,W. Szczęsny,static/images/PlayerPhoto/186153,static/images/CountryFlag/186153,static/images/ClubLogo/186153
488,08 O. Kahn,static/images/PlayerPhoto/488,static/images/CountryFlag/488,static/images/ClubLogo/488
226161,Marcos Llorente,static/images/PlayerPhoto/226161,static/images/CountryFlag/226161,static/images/ClubLogo/226161
210514,João Cancelo,static/images/PlayerPhoto/210514,static/images/CountryFlag/210514,static/images/ClubLogo/210514
189332,Jordi Alba,static/images/PlayerPhoto/189332,static/images/CountryFlag/189332,static/images/ClubLogo/189332
189509,Thiago,static/images/PlayerPhoto/189509,static/images/CountryFlag/189509,static/images/ClubLogo/189509
189513,Parejo,static/images/PlayerPhoto/189513,static/images/CountryFlag/189513,static/images/ClubLogo/189513
209499,Fabinho,static/images/PlayerPhoto/209499,static/images/CountryFlag/209499,static/images/ClubLogo/209499
208830,J. Vardy,static/images/PlayerPhoto/208830,static/images/CountryFlag/208830,static/images/ClubLogo/208830
218667,Bernardo Silva,static/images/PlayerPhoto/218667,static/images/CountryFlag/218667,static/images/ClubLogo/218667
208093,Gerard Moreno,static/images/PlayerPhoto/208093,static/images/CountryFlag/208093,static/images/ClubLogo/208093
10535,15 Xavi,static/images/PlayerPhoto/10535,static/images/CountryFlag/10535,static/images/ClubLogo/10535
231866,Rodri,static/images/PlayerPhoto/231866,static/images/CountryFlag/231866,static/images/ClubLogo/231866
178603,M. Hummels,static/images/PlayerPhoto/178603,static/images/CountryFlag/178603,static/images/ClubLogo/178603
204485,R. Mahrez,static/images/PlayerPhoto/204485,static/images/CountryFlag/204485,static/images/ClubLogo/204485
198219,L. Insigne,static/images/PlayerPhoto/198219,static/images/CountryFlag/198219,static/images/ClubLogo/198219
189511,Sergio Busquets,static/images/PlayerPhoto/189511,static/images/CountryFlag/189511,static/images/ClubLogo/189511
212218,A. Laporte,static/images/PlayerPhoto/212218,static/images/CountryFlag/212218,static/images/ClubLogo/212218
213345,K. Coman,static/images/PlayerPhoto/213345,static/images/CountryFlag/213345,static/images/ClubLogo/213345
201535,R. Varane,static/images/PlayerPhoto/201535,static/images/CountryFlag/201535,static/images/ClubLogo/201535
138956,G. Chiellini,static/images/PlayerPhoto/138956,static/images/CountryFlag/138956,static/images/ClubLogo/138956
232363,M. Škriniar,static/images/PlayerPhoto/232363,static/images/CountryFlag/232363,static/images/ClubLogo/232363
201024,K. Koulibaly,static/images/PlayerPhoto/201024,static/images/CountryFlag/201024,static/images/ClubLogo/201024
4738,08 A. Recoba,static/images/PlayerPhoto/4738,static/images/CountryFlag/4738,static/images/ClubLogo/4738
192984,K. Casteels,static/images/PlayerPhoto/192984,static/images/CountryFlag/192984,static/images/ClubLogo/192984
